 days post max Lbol   log_Lbol (erg/s)   log_Lnuc (erg/s)
     -2.101721E-04       3.849300E+01       4.201072E+01
     -2.093880E-04       3.849400E+01       4.201072E+01
     -2.087901E-04       3.849400E+01       4.201072E+01
     -2.080520E-04       3.849400E+01       4.201072E+01
     -2.073398E-04       3.849400E+01       4.201072E+01
     -2.067670E-04       3.849400E+01       4.201072E+01
     -2.060610E-04       3.849400E+01       4.201072E+01
     -2.054241E-04       3.849400E+01       4.201072E+01
     -2.048782E-04       3.849400E+01       4.201072E+01
     -2.042108E-04       3.849400E+01       4.201072E+01
     -2.035958E-04       3.849400E+01       4.201072E+01
     -2.030609E-04       3.849400E+01       4.201072E+01
     -2.024059E-04       3.849400E+01       4.201072E+01
     -2.018468E-04       3.849400E+01       4.201072E+01
     -2.012928E-04       3.849400E+01       4.201072E+01
     -2.006542E-04       3.849400E+01       4.201072E+01
     -2.000227E-04       3.849400E+01       4.201072E+01
     -1.994322E-04       3.849400E+01       4.201072E+01
     -1.987891E-04       3.849400E+01       4.201072E+01
     -1.981945E-04       3.849500E+01       4.201072E+01
     -1.976076E-04       3.849500E+01       4.201072E+01
     -1.969947E-04       3.849500E+01       4.201072E+01
     -1.963556E-04       3.849500E+01       4.201072E+01
     -1.956846E-04       3.849500E+01       4.201072E+01
     -1.950305E-04       3.849500E+01       4.201072E+01
     -1.944976E-04       3.849500E+01       4.201072E+01
     -1.938204E-04       3.849500E+01       4.201072E+01
     -1.936944E-04       3.849500E+01       4.201072E+01
     -1.936940E-04       3.849500E+01       4.201072E+01
     -1.936769E-04       3.849500E+01       4.201072E+01
     -1.934032E-04       3.849500E+01       4.201072E+01
     -1.928913E-04       3.849500E+01       4.201072E+01
     -1.922842E-04       3.849500E+01       4.201072E+01
     -1.915702E-04       3.849500E+01       4.201072E+01
     -1.912874E-04       3.849500E+01       4.201072E+01
     -1.909418E-04       3.849500E+01       4.201072E+01
     -1.907700E-04       3.849500E+01       4.201072E+01
     -1.903855E-04       3.849500E+01       4.201072E+01
     -1.897245E-04       3.849500E+01       4.201072E+01
     -1.889749E-04       3.849500E+01       4.201072E+01
     -1.882225E-04       3.849500E+01       4.201072E+01
     -1.874061E-04       3.849500E+01       4.201072E+01
     -1.866330E-04       3.849500E+01       4.201072E+01
     -1.858349E-04       3.849500E+01       4.201072E+01
     -1.851390E-04       3.849500E+01       4.201072E+01
     -1.848180E-04       3.849500E+01       4.201072E+01
     -1.842085E-04       3.849500E+01       4.201072E+01
     -1.834848E-04       3.849500E+01       4.201072E+01
     -1.826718E-04       3.849600E+01       4.201072E+01
     -1.818426E-04       3.849600E+01       4.201072E+01
     -1.809222E-04       3.849600E+01       4.201072E+01
     -1.803325E-04       3.849600E+01       4.201072E+01
     -1.799786E-04       3.849600E+01       4.201072E+01
     -1.792519E-04       3.849600E+01       4.201072E+01
     -1.784714E-04       3.849600E+01       4.201072E+01
     -1.776694E-04       3.849600E+01       4.201072E+01
     -1.768266E-04       3.849600E+01       4.201072E+01
     -1.760186E-04       3.849700E+01       4.201072E+01
     -1.751648E-04       3.849700E+01       4.201072E+01
     -1.742222E-04       3.849700E+01       4.201072E+01
     -1.739827E-04       3.849700E+01       4.201072E+01
     -1.735405E-04       3.849700E+01       4.201072E+01
     -1.727199E-04       3.849700E+01       4.201072E+01
     -1.718141E-04       3.849700E+01       4.201072E+01
     -1.708963E-04       3.849700E+01       4.201072E+01
     -1.699762E-04       3.849700E+01       4.201072E+01
     -1.690758E-04       3.849700E+01       4.201072E+01
     -1.687674E-04       3.849700E+01       4.201072E+01
     -1.680621E-04       3.849700E+01       4.201072E+01
     -1.672978E-04       3.849700E+01       4.201072E+01
     -1.669417E-04       3.849700E+01       4.201072E+01
     -1.664813E-04       3.849700E+01       4.201072E+01
     -1.664748E-04       3.849700E+01       4.201072E+01
     -1.661702E-04       3.849700E+01       4.201072E+01
     -1.655091E-04       3.849700E+01       4.201072E+01
     -1.647829E-04       3.849700E+01       4.201072E+01
     -1.639331E-04       3.849700E+01       4.201072E+01
     -1.631261E-04       3.849700E+01       4.201072E+01
     -1.622631E-04       3.849700E+01       4.201072E+01
     -1.613746E-04       3.849700E+01       4.201072E+01
     -1.610542E-04       3.849700E+01       4.201072E+01
     -1.605402E-04       3.849800E+01       4.201072E+01
     -1.597281E-04       3.849800E+01       4.201072E+01
     -1.594347E-04       3.849800E+01       4.201072E+01
     -1.588532E-04       3.849800E+01       4.201072E+01
     -1.581729E-04       3.849800E+01       4.201072E+01
     -1.578162E-04       3.849800E+01       4.201072E+01
     -1.571257E-04       3.849800E+01       4.201072E+01
     -1.565941E-04       3.849800E+01       4.201072E+01
     -1.561240E-04       3.849800E+01       4.201072E+01
     -1.553078E-04       3.849800E+01       4.201072E+01
     -1.543836E-04       3.849800E+01       4.201072E+01
     -1.536938E-04       3.849800E+01       4.201072E+01
     -1.529829E-04       3.849800E+01       4.201072E+01
     -1.526679E-04       3.849800E+01       4.201072E+01
     -1.518977E-04       3.849800E+01       4.201072E+01
     -1.510456E-04       3.849900E+01       4.201072E+01
     -1.502591E-04       3.849900E+01       4.201072E+01
     -1.494050E-04       3.849900E+01       4.201072E+01
     -1.490782E-04       3.849900E+01       4.201072E+01
     -1.489080E-04       3.849900E+01       4.201072E+01
     -1.483673E-04       3.849900E+01       4.201072E+01
     -1.474199E-04       3.849900E+01       4.201072E+01
     -1.467056E-04       3.849900E+01       4.201072E+01
     -1.462254E-04       3.849900E+01       4.201072E+01
     -1.452277E-04       3.849900E+01       4.201072E+01
     -1.446915E-04       3.849900E+01       4.201072E+01
     -1.440957E-04       3.849900E+01       4.201072E+01
     -1.429981E-04       3.849900E+01       4.201072E+01
     -1.422087E-04       3.849900E+01       4.201072E+01
     -1.417325E-04       3.849900E+01       4.201072E+01
     -1.407903E-04       3.850000E+01       4.201072E+01
     -1.404250E-04       3.850000E+01       4.201072E+01
     -1.397446E-04       3.850000E+01       4.201072E+01
     -1.388260E-04       3.850000E+01       4.201072E+01
     -1.384975E-04       3.850000E+01       4.201072E+01
     -1.378183E-04       3.850000E+01       4.201072E+01
